Q345,1805,Yes,No Electric,,,
R076,1890,,,,,
Q001-04,1659,,,,,
Q429,1850,Yes,No Heat,,,
Q107,1742,,,,,
B056,1358,,,,,
B148,1405,,,,,
M211B,1628,,,,,
Q344,1804,,,,,
Q015-03,1687,,,,,
B347,1509,,,,,
Q023,1703,,,Yes,DEP/Sewer,
M011,1545,Yes,Electrical,,,
Q041,1709,,,Yes,No Power,
M015,1548,,,Yes,Construction,
Q332,1794,,,Yes,Repairs,
X171,1991,,,Yes,Capital,
X103,1957,,,Yes,Capital,
X111,1960,,,Yes,Capital,
Q335,1796,Yes,No Heat,,,
X159,1981,,,Yes,Capital,
M029-ZN01,2061,,,,,
X008-ZN03,1908,,,,,
R016-ZN01,2064,,,,,
M399,2069,,,,,
Q004-ZN01,1666,Yes,No heat,Yes,Capital,
X353,2067,,,,,
X080,1943,,,Yes,Capital,
B431-ZN06,2065,,,,,
B541,2066,,,,,
Q174A,1763,Yes,No gas,Yes,Repairs,
B114-01,1390,,,,,
R016-ZN03,2068,,,,,
Q005-ZN01,1671,,,Yes,No Power,
Q121,1747,,,,,
Q099-20,1730,,,Yes,Capital,
B057-ZN06,2063,,,,,
M063,2062,,,,,
